study_order,study_title,authors,year,journal,doi,publisher_outlet,publisher_outlet_detail,details_in_supplement,extraction_incomplete_main_text,supplement_notes,authors_business_school,author_affiliation_detail,management_domain,empirical_ulmc,not_pls,pls_sem_used,pls_variant,statistical_methods_mv,statistical_method_detail,method_variance_pct,harman_variance_pct,harman_deployed,lindell_whitney_r2_substantive,lindell_whitney_r2_method,avg_factor_loading_change,ulmc_improves_fit,ulmc_in_final,procedural_remedies_used,procedural_remedies_list,richardson_2009_cited,richardson_citation_context,richardson_critique_acknowledged,richardson_citation_text,three_step_approach_used,step1_baseline_reported,step2_ulmc_reported,step3_chisq_diff_reported,three_step_complete,sample_n,num_constructs,num_indicators,complexity_ratio,author_conclusion_mv,mv_inference_criteria_used,mv_inference_criteria_list,mv_inference_criteria_detail,mv_inferred_not_problem,mv_inference_rationale_text,author_fit_claims,estimator,software,country,industry_sector,study_design,data_collection_method,response_rate,verification_table,notes
13,Zhang et al. (2018) - Organizational learning and green innovation,Zhang et al.,2018,Journal of Business Research,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman one-factor test,unmeasured latent method construct (ULMC) technique; Harman's one-factor test,,,TRUE,,,,,FALSE,FALSE,none,TRUE,neutral,FALSE,Richardson et al. (2009) cited in references,FALSE,FALSE,FALSE,FALSE,FALSE,321,7,,,CMB concern dismissed,,,,,,χ2 from 321.016 to 391.064; χ2/df from 1.354 to 1.664,CB-SEM,,China,Manufacturing/Energy/Construction/Logistics/IT/Service,Cross-sectional,Survey,63.9%,,ULMC: trait-and-method model did not improve fit. Richardson et al. (2009) cited but not discussed.
14,Zhang and Wang (2019) - Influence of sustainable development,Zhang and Wang,2019,Sustainability (MDPI),10.3390/su11051384,MDPI,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,Unmeasured Latent Method Construct (ULMC) method,,,FALSE,,,,,,FALSE,none,,FALSE,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,5,,,,,,,,,no need to consider the impact of CMV,χ2 = 105.219 CMIN = 3.859 p = 0.156,CB-SEM,AMOS 21.0,China (Huangshan),Tourism (rural heritage sites),Cross-sectional,On-site questionnaire,100%,
15,Ogbonnaya (2019) - Exploring possible trade-offs,Ogbonnaya,2019,Human Resource Management Journal,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Common latent factor,unmeasured latent method construct test,,,FALSE,,,,,,FALSE,none,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,5,24,4.8,,,,,,,common method variance does not pose a serious threat,,CB-SEM,,United Kingdom,Workplaces,Cross-sectional,Survey,50%,
16,Schreurs et al. (2014) - Work values and work engagement,Schreurs et al.,2014,Journal of Vocational Behavior,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor,unmeasured latent method factor (Podsakoff et al. 2003),,,TRUE,,,,,FALSE,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,11,,,common method variance does not pose a serious threat,,,,,,Common method factor model fit worse than expected model,CB-SEM,LISREL 8.54,Belgium,Work teams,Cross-sectional,Survey,,,"ULMC: common method factor model fit worse than expected measurement model. ∆χ2(50) = 1,047.19, p < .001."
17,Brouer et al. (2015) - Political skill dimensionality,Brouer et al.,2015,Journal of Applied Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ULMC) technique (Podsakoff et al. 2003; Richardson et al. 2009),,,FALSE,,,,,,FALSE,none,Richardson et al. (2009) cited,neutral,FALSE,Richardson et al. (2009) cited in ULMC procedure description,TRUE,TRUE,TRUE,TRUE,TRUE,331,6,18,3,CMV is unlikely to confound,,,,,,Trait/method-R model not significantly different from trait/method model,CB-SEM,,United States,Organizational behavior,Cross-sectional,Survey,,,ULMC: Four models estimated (trait-only method-only trait/method trait/method-R). Richardson et al. (2009) cited for ULMC procedure.
18,Szőcs et al. (2016) - Linking cause assessment corporate philanthropy,Szőcs et al.,2016,Journal of Business Research,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct on which all manifest indicators can load freely,,,FALSE,,,,,,FALSE,none,anonymity; fact-based unambiguous questions,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,7,16,2.29,,,,,,,,,CB-SEM,,Austria and Egypt,Telecommunications,Cross-sectional,Online survey,,
19,Janson et al. (2020) - Ladders for learning,Janson et al.,2020,Journal of Management Information Systems,,NA,NA,NA,NA,,,,FALSE,TRUE,TRUE,FALSE,,,ULMC technique criticized - not used,,,FALSE,,,,,,FALSE,none,cover story; objective learning outcome measures,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,5,,,,,,,,,,,CB-SEM,,,Education (LMS),Experimental (pretest-posttest),Field experiment,,
20,Raymond et al. (2015) - Improving performance in medical practices,Raymond et al.,2015,BMC Medical Informatics and Decision Making,,NA,NA,NA,NA,,,,FALSE,TRUE,TRUE,FALSE,,,,,,FALSE,,,,,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,18,85,4.72,,,,,,,,CB-SEM,,Canada,Healthcare (medical practices),Cross-sectional,Survey,,,No ULMC mentioned - only CMB abbreviation in table. Needs verification.
21,Shkoler et al. (2021) - Heavy-Work Investment,Shkoler et al.,2021,Applied Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single-factor; Common-latent factor,Unmeasured Latent Method Construct (ULMC; Richardson et al. 2009); Harman's single-factor; Common-latent factor (CLF),,,TRUE,,,,,,FALSE,none,Richardson et al. (2009) cited,neutral,FALSE,Richardson et al. (2009) cited in CMV analysis section,FALSE,FALSE,FALSE,FALSE,FALSE,,12,,,CMV is an unlikely explanation,,,,,,R2 < 0.50 for all samples,CB-SEM,AMOS v.23,Multiple countries (12 samples),Multiple industries,Cross-sectional,Survey,,,Multi-group analysis across 12 samples. ULMC (CLF) method. Richardson et al. (2009) cited. R2 values < 50% for all samples.
22,Morini et al. (2021) - Export barriers for SMEs,Morini et al.,2021,International Business Review,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single-factor test,unmeasured latent method construct (ULMC) adapted to PLS,,28.75,TRUE,,,,,,FALSE,none,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,7,36,5.14,,,,,,,presence of bias can be disregarded,Ratio substantive:method = 16.67:1,PLS-SEM,,Brazil,SMEs (export barriers),Cross-sectional,Survey,,"[CORRECTED: 36 indicators (43-7), not 5. Did not appropriately cite Schwarz et al. who caution against inappropriate methods like PLS for controlling CMV.]"
23,Cho et al. (2020) - Examining the job demands-resources model,Cho et al.,2020,Current Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single-factor,single unmeasured latent method factor,9.06,40.64,TRUE,,,,,,FALSE,none,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,16,,,,,,,,,common method variance is not a potential contaminant,Method factor: 9.06% of total variance,CB-SEM,,South Korea,Corrections (correctional officers),Cross-sectional,Survey,,
24,Moon et al. (2020) - Does employees' spirituality enhance job performance,Moon et al.,2020,Journal of Business Ethics,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman one-factor,unmeasured latent method factor,13.3,,TRUE,,,,,,FALSE,none,anonymity; temporal separation (T1 T2),FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,5,15,3,,,,,,,results were not seriously compromised by common method bias,Method factor: 13.3% (below 18-32% typical),CB-SEM,,South Korea,Organizations,Longitudinal (two-wave),Mail survey,,
25,Tarafdar et al. (2020) - Explaining the link between technostress,Tarafdar et al.,2020,Information Systems Research,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor; Correlation matrix,ULMC approach,0.2,21.3,TRUE,,,,,,FALSE,none,temporal separation (three time points),FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,4,,,,,,,,,very low probability for the presence of common methods bias,R2 with CMB: 0.739 vs without: 0.737 (delta = 0.002),CB-SEM,,United States,Information systems,Longitudinal (three-wave),Online survey,,
26,Williams and McGonagle (2015) - Four Research Designs,Williams and McGonagle,2015,Journal of Business and Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Marker Variable; Measured Cause Variable; Hybrid,Four research designs for assessing CMV using latent variables,,,FALSE,,,,,,FALSE,none,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,10,,,,,,,,,,,CB-SEM,,,,Cross-sectional,Survey,,
27,Sackett and Zhang (2020) - Revisiting the Design of Selection Systems,Sackett and Zhang,2020,Annual Review of Organizational Psychology and Organizational Behavior,,NA,NA,NA,NA,,,,FALSE,TRUE,TRUE,FALSE,,,,,,FALSE,,,,,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,4,5,1.25,,,,,,,,,,,,Review paper,,,,Review paper - may not be empirical ULMC study. Needs verification.
28,Laari et al. (2018) - The effect of a competitive strategy,Laari et al.,2018,International Journal of Physical Distribution & Logistics Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ULMC) technique,,,FALSE,,,,,,FALSE,none,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,8,,,,,,,,common method bias is unlikely to threaten the validity,Δ Χ² (5 df) = 10.046 p>0.05,CB-SEM,,Finland,Logistics service providers,Cross-sectional,Survey,,
29,Owens et al. (2016) - Relational energy at work,Owens et al.,2016,Journal of Applied Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman one-factor,unmeasured latent method factors,2,,TRUE,,,,,,FALSE,none,TRUE,anonymity; temporal separation (four weeks),FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,unlikely that our findings are explained by common method variance,Method factor: 2% of variance (Study 3); 3.6% (Study 4),CB-SEM,,United States,Organizations,Longitudinal (two-wave),Survey,
30,Liu et al. (2021) - To Be (Creative) or not to Be (Creative),Liu et al.,2021,Journal of Business and Psychology,10.1007/s10869-019-09669-0,Springer,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,"unmeasured latent method factor approach (Williams & McGonagle, 2016)",4.98,,FALSE,,,,,FALSE,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,325,5,22,4.4,CMV should have little to no effects on our hypotheses testing,,,,,,χ2(174) = 276.90,CFI = 0.98,TLI = 0.97,RMSEA = 0.04,SRMR = 0.04,CB-SEM,,China and United States,Academic institution,Cross-sectional
37,Zhu et al. (2021) - Give a Man a Fish or Teach a Man to Fish: A Cross-Level Moderated Mediation Model,"Zhu, Zhang, Guo",2021,Frontiers in Psychology,10.3389/fpsyg.2021.618834,Frontiers,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,"single unmeasured latent method factor test (Podsakoff et al., 2003)",,,FALSE,,,,,FALSE,TRUE,multisource data,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,303,5,,,common method variance was not serious,,,,,,"TLI 0.87 (trait/method) vs 0.90 (five-factor) - no improvement. χ² = 878.83, df = 284, RMSEA = 0.07, CFI = 0.90, TLI = 0.87",CB-SEM,,China,Work teams,Longitudinal (three-wave),Survey,83.01%,,"Multisource data (303 leader-member dyads from 39 work teams). ULMC: TLI comparison showed no improvement. χ² = 878.83, df = 284, RMSEA = 0.07, CFI = 0.90, TLI = 0.87 (trait/method) vs TLI = 0.90 (five-factor)."
40,Wang and Li (2019) - Moral Leadership and Unethical Pro-organizational Behavior: A Moderated Mediation Model,"Wang, Li",2019,Frontiers in Psychology,10.3389/fpsyg.2019.02640,Frontiers,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,"unmeasured latent method construct (ULMC) technique (Podsakoff et al., 2003)",,,FALSE,,,,,FALSE,FALSE,none,FALSE,,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,366,5,,,CMB was not a serious problem,,,,,,"Study 1: Δχ²(6) = 5.161, p > 0.05; Study 2: ΔCFI = 0.009 < 0.01",CB-SEM,Mplus 7.4,China,MBA students and enterprise employees,Longitudinal (two-wave),Survey,94.5%,,"Two studies. Study 1: 161 MBA students. Study 2: 205 enterprise employees. ULMC: Both studies showed no significant improvement in fit. Study 1: χ² = 295.899 vs 301.060 baseline, Δχ²(6) = 5.161, p > 0.05. Study 2: ΔCFI = 0.009 < 0.01 threshold."
49,"Chen et al. (2021) - Moral disengagement and moral judgment: the roles of moral endorsement, shareholder-value orientation, and intensity of moral issues","Chen, Li, Feng, Zhang",2021,Ethics & Behavior,10.1080/10508422.2020.1744149,Taylor & Francis,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,"unmeasured latent method construct technique (Williams et al., 1989; Podsakoff et al., 2003; Richardson et al., 2009)",,,FALSE,,,,,FALSE,FALSE,none,TRUE,neutral,FALSE,Following Podsakoff et al. (2003) suggestion and Richardson et al. (2009) procedure,TRUE,TRUE,TRUE,TRUE,TRUE,434,5,,,common method variance is not responsible for the results,,,,,,"Trait/method-R vs congeneric trait/method: χ² = 15.539, df = 10, p = .11 (not significant). Congeneric fits better than non-congeneric: χ² = 172.356, df = 26, p < .05",CB-SEM,AMOS 22.0,China,Business managers (panel study),Cross-sectional (scenario-based survey),Online survey (Wenjuanxing panel),,,"Scenario-based survey with 434 panel members. ULMC: Four models estimated (trait-only, trait/method congeneric, trait/method non-congeneric, trait/method-R). Following Richardson et al. (2009) procedure. Trait/method-R vs congeneric: χ² = 15.539, df = 10, p = .11 (not significant - fits equally well)."
L2,Legacy Refid 2 - ULMC Study,Legacy Study,,Journal of Business & Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,17.2,,FALSE,,,,TRUE,FALSE,FALSE,none,FALSE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,7,,,The authors do not provide a conclusion regarding the role of common method bias,,,,,,The inclusi&oacute;n of a ULMC did improve the fit of the model,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. To quantify the amount of CMV that exists in the sub- stantive indicators, we calculated the average variance accounted for in the indicators by each of the method variables by squaring the standardiz..."
L17,Legacy Refid 17 - ULMC Study,Legacy Study,,Human Resource Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,FALSE,TRUE,anonymity,FALSE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,6,18,3,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. As identified by Podsakoff et al. (2003), common method variance may be a concern in studies that rely on self-report survey data. To address this, preventive measures were taken, such as providing re..."
L20,Legacy Refid 20 - ULMC Study,Legacy Study,,Business Strategy and the Environment,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,FALSE,TRUE,separation between measures,TRUE,neutral,FALSE,Richardson et al,TRUE,TRUE,TRUE,TRUE,TRUE,,18,85,4.72,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. To test for common method variance (CMV), we used a CFA-based version of Harman’s single-factor test (see, e.g., Malhotra et al., 2006). In AMOS, we specified a single method factor, such that it migh..."
L26,Legacy Refid 26 - ULMC Study,Legacy Study,,MIS Quarterly,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,FALSE,TRUE,anonymity,FALSE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,10,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Our study has theoretical and empirical limitations that offer several meaningful opportunities for future research. First, as with all self-reported data, our research is exposed to a possible common..."
L29,Legacy Refid 29 - ULMC Study,Legacy Study,,Journal of Business Ethics,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,5,,FALSE,,,,TRUE,FALSE,TRUE,separation between measures,FALSE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,6,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. The existence of bias due to common method variance (CMV) in mediation study designs can be a fatal flaw, as they are causal in nature. This study has a cross-sectional design, and the data were colle..."
L37,Legacy Refid 37 - ULMC Study,Legacy Study,,Knowledge and Process Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,2,,FALSE,,,,TRUE,FALSE,FALSE,none,TRUE,neutral,FALSE,Richardson et al,FALSE,FALSE,FALSE,FALSE,FALSE,,5,16,3.2,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Finally, using the unmeasured latent method construct (ULMC) approach (Chin, Thatcher, & Wright, 2012; Richardson et al., 2009; L. J. Williams, Cote, & Buckley, 1989), we added a latent construct with..."
L39,Legacy Refid 39 - ULMC Study,Legacy Study,,Journal of Business & Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,7.9,,FALSE,,,,TRUE,FALSE,TRUE,temporal separation,TRUE,neutral,FALSE,"Richardson, Simmering, & Sturman, 2009)",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Although we collected data at different time points, all variables were employee reported (except for demographic information). Thus, we applied the unmeasured latent method construct (ULMC) technique..."
L5,Owens et al. (2016) - Relational energy at work,Owens et al.,2016,Journal of Applied Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,2,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,9,11,1.22,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. To address potential concerns of common method variance, we conducted several post- hoc tests. Utilizing Harman’s one-factor test with all self-report data, we found that one factor did not explain th..."
