study_order,study_title,authors,year,journal,doi,publisher_outlet,publisher_outlet_detail,predatory_journal_flag,details_in_supplement,extraction_incomplete_main_text,supplement_notes,authors_business_school,author_affiliation_detail,management_domain,empirical_ulmc,not_pls,pls_sem_used,pls_variant,statistical_methods_mv,statistical_method_detail,method_variance_pct,harman_variance_pct,harman_deployed,lindell_whitney_r2_substantive,lindell_whitney_r2_method,avg_factor_loading_change,ulmc_improves_fit,ulmc_in_final,procedural_remedies_used,procedural_remedies_list,multisource_same_construct,different_sources_iv_dv,distinct_sources_other,richardson_2009_cited,richardson_citation_context,richardson_critique_acknowledged,richardson_citation_text,three_step_approach_used,step1_presence_delta_chisq_reported,step1_presence_delta_chisq,step1_presence_pvalue,step1_cmv_indicated,step2_method_r_model_reported,step2_method_r_bias_test_reported,step2_bias_indicated,step3_contamination_reported,step3_indicator_level_mv_reported,step3_construct_level_mv_reported,method_variance_reported_despite_no_bias,step1_baseline_reported,step2_ulmc_reported,step3_chisq_diff_reported,three_step_complete,sample_n,num_constructs,num_indicators,complexity_ratio,author_conclusion_mv,mv_inference_criteria_used,mv_inference_criteria_list,mv_inference_criteria_detail,mv_inferred_not_problem,mv_inference_rationale_text,author_fit_claims,estimator,software,country,industry_sector,study_design,data_collection_method,response_rate,verification_table,notes,master_id,extraction_source,coding_mode
M0203,"Tian, Wen (2026) - The Mediating Role of Psychological Capital Between Caring Behaviour and Work En...","Tian, Wen ; Zhang, Guo‐wen ; Song, Gui‐qi",2026,Nursing Open,10.1002/nop2.70569,Wiley,Nursing Open,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,31.86,TRUE,,,,,,TRUE,attention checks,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,698,,10,,,FALSE,,,TRUE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0203,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0204,"Wu, Ruizhe (2026) - Relationships Between Organizational Innovation Climate, Creative Self-Efficacy,...","Wu, Ruizhe ; Feng, Xingmiao ; Zhai, Ziyan ; Sun, Xinyue ; Wang, Zhen ; Wang, Zhaoyang ; Meng, Kai",2026,Inquiry (00469580),10.1177/00469580261433833,SAGE,Inquiry (00469580),FALSE,,,,NA,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,40.0,TRUE,,,,,,TRUE,anonymity; temporal separation; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,TRUE,,,,,FALSE,400,7,11,1.57,,FALSE,,,FALSE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0204,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0205,"Pariona-Cabrera, Patricia (2026) - Understanding police officers’ responses to moral injury: the aggravating effect...","Pariona-Cabrera, Patricia ; Alfes, Kerstin ; Bartram, Timothy ; Holland, Peter",2026,International Journal of Human Resource Management,10.1080/09585192.2026.2682838,Taylor & Francis,International Journal of Human Resource Management,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,95.0,TRUE,,,,,,TRUE,temporal separation,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,371,2,,,,FALSE,,,FALSE,,,,R,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0205,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0208,"Lee, Jin-Myong (2026) - When Choice Disappears: Perceived Coercion and Avoidance of Self-Service Technol...","Lee, Jin-Myong ; Kim, Sowon",2026,Journal of Theoretical & Applied Electronic Commerce Research,10.3390/jtaer21040126,MDPI,Journal of Theoretical & Applied Electronic Commerce Research,TRUE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,FALSE,,TRUE,item pretesting,FALSE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,0.293,0.588,TRUE,,,,,,,,TRUE,,,FALSE,117,,,,concern - CMV is unlikely,TRUE,no improvement in model fit with ULMC,,TRUE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0208,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0210,"Uzkurt, Cevahir (2025) - Green information systems efforts and SMEs' environmental and financial performa...","Uzkurt, Cevahir ; Arslan, Safa ; Ekmekcioglu, Emre Burak ; Ceyhan, Semih",2025,Journal of Environmental Planning & Management,10.1080/09640568.2024.2313186,Taylor & Francis,Journal of Environmental Planning & Management,FALSE,,,,TRUE,"story? Cevahir Uzkurt , Safa Arslan , Emre Burak Ekmekcioglu and Semih Ceyhan Business School, Ankara Yildirim Beyazit University, Ankara, T€urkiye (Received 29 January 2023; final version received 28 January 2024",TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,29.0,TRUE,,,,,,TRUE,anonymity,FALSE,FALSE,FALSE,FALSE,,,,,,,,TRUE,,,,,,,,,,,FALSE,384,,,,,FALSE,,,,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0210,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0211,"Yu, Zhen (2025) - The Dark Side of Employee's Leadership Potential: Its Impact on Leader Jealousy ...","Yu, Zhen ; Wang, Feiwen ; Ye, Long ; Liao, Ganli ; Zhang, Qichao",2025,Behavioral Sciences (2076-328X),10.3390/bs15081001,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,TRUE,"Beijing 100044, China; 19113077@bjtu.edu.cn (Z.Y.); yelong@bjtu.edu.cn (L.Y.) 2 Business School, Beijing Information Science and Technology University, Beijing 102206, China; 2023020786@bistu.edu.cn (F.W.); glliao@b; racism Zhen Yu 1, Feiwen Wang 2, Long Ye 1, Ganli Liao 2 and Qichao Zhang 2,* 1 School of Economics and Management, Beijing Jiaotong University, Beijing 100044, China; 19113077@bjtu.edu.cn (Z.Y.); yelong@bjtu.edu.cn (L.Y.) 2 Business",TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,32.48,TRUE,,,,,,FALSE,none reported,FALSE,FALSE,FALSE,TRUE,,,,TRUE,,,,,,,,,,,,,,,FALSE,672,,12,,concern - CMB was unlikely,FALSE,,,TRUE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF; procedural_remedies none reported in PDF,M0211,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0213,"Miao, Guosen (2025) - The impact of corporate social responsibility on employee safety citizenship beh...","Miao, Guosen ; Chen, Guoping ; Li, Cui",2025,Scientific Reports,10.1038/s41598-025-12083-7,NA,Scientific Reports,FALSE,,,,TRUE,"ganizational safety capabilities13 and enhancing colleagues' safety 1Evergrande School of Management, Wuhan University of Science and Technology, Wuhan Hubei, China. 2Party School of Anhui Provincial Committee of C.P.C",TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,39.79,TRUE,,,,,,TRUE,temporal separation; attention checks,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,TRUE,,,,,FALSE,481,,,,,FALSE,,,FALSE,,,CB-SEM,R,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0213,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0214,"Gonzalez, Bárbara (2025) - Predictors of higher education dropout intention in the post-pandemic era: The m...","Gonzalez, Bárbara ; Mendes, Teresa P. ; Pinto, Ricardo ; Correia, Sónia V. ; Albuquerque, Sara ; Paulino, Paula",2025,PLoS ONE,10.1371/journal.pone.0327643,NA,PLoS ONE,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,24.0,TRUE,,,,,,FALSE,none reported,FALSE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,32.16,001,,,,TRUE,TRUE,,,,TRUE,,TRUE,FALSE,1402,,,,concern - method bias showed no indication of that bias significant,FALSE,,,TRUE,,,CB-SEM,Lavaan,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF; procedural_remedies none reported in PDF,M0214,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0215,"Wang, Yiting (2025) - Back to Work, Running on Empty? How Recovery Needs and Perceived Organizational ...","Wang, Yiting ; Song, Keni ; Guo, Ming ; Ye, Long",2025,Behavioral Sciences (2076-328X),10.3390/bs15070889,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,TRUE,"ees' Vigor Upon Return to Work Yiting Wang * , Keni Song , Ming Guo and Long Ye School of Economics and Management, Beijing Jiaotong University, Beijing 100044, China; 21113081@bjtu.edu.cn (K.S.); gming@bjtu.edu.cn (M.G.); yelong@bjtu",TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,,TRUE,anonymity; temporal separation; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,349,,,,,FALSE,,,TRUE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0215,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0216,"Lv, Mengna (2025) - Corporate Social Responsibility and Work Engagement: A Moderated Serial Mediatio...","Lv, Mengna ; Luan, Kun",2025,Corporate Social Responsibility & Environmental Management,10.1002/csr.3233,Wiley,Corporate Social Responsibility & Environmental Management,FALSE,,,,TRUE,"rsities (Grant No. 22CX04001B), and Central University of Finance and Economics Business School Doctoral Candidate Key Topic Support Program.",TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,36.71,TRUE,,,,,,TRUE,temporal separation,FALSE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,1859.55,,TRUE,,,,,,,,TRUE,,,FALSE,354,,10,,not a concern - common method variance was not a problem,TRUE,CMV not a concern (unspecified),,TRUE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0216,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0217,"Yin, Yaning (2026) - The Impact of Stigma on Autonomous Motivation Among Psychiatric Hospital Staff i...","Yin, Yaning ; Hei, Luping ; Zhao, Miaomiao ; Sun, Siwei ; Yuan, Beibei ; Islam, Talat",2026,Journal of Nursing Management,10.1155/jonm/9940890,NA,Journal of Nursing Management,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,,TRUE,anonymity; attention checks; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,2813,,,,,FALSE,,,FALSE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0217,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0218,"Yan, Yihang (2025) - Approach or Avoidance: How Does Employees' Generative AI Awareness Shape Their J...","Yan, Yihang ; Qu, Xiaoqian ; Lei, Hongzhen ; Geng, Yao",2025,Behavioral Sciences (2076-328X),10.3390/bs15060789,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,TRUE,"Perspective Yihang Yan, Xiaoqian Qu *, Hongzhen Lei and Yao Geng International Business School, Shaanxi Normal University, Xi'an 710119, China; yanyihang@snnu.edu.cn (Y.Y.); leihongzhen@snnu.edu.cn (H.L.); gengyao@",TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,,TRUE,temporal separation; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,316,,5,,,FALSE,,,FALSE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0218,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0219,"Peng, Bo (2025) - From physical self-esteem to sports participation: The mediating role of exercis...","Peng, Bo ; Chen, Weisong ; Wang, Hongshen ; Yu, Ting",2025,PLoS ONE,10.1371/journal.pone.0324588,NA,PLoS ONE,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,2.0,40.0,TRUE,,,,,,TRUE,anonymity; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,243,5,30,6.0,not a concern - method bias does not substantial,FALSE,,,TRUE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended,M0219,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0220,"Fan, Chuanhao (2025) - Proactive Breakthrough or Passive Exhaustion? A Dual-Path Integrated Model Drive...","Fan, Chuanhao ; Shang, Bingbing",2025,Behavioral Sciences (2076-328X),10.3390/bs15050702,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,TRUE,"d Model Driven by Perceived Overqualification Chuanhao Fan * and Bingbing Shang School of Business, Hohai University, Nanjing 211100, China; shangbingbing@hhu.edu.cn * Correspondence: fch@hhu.edu.cn; Tel.: +86-13770967; Dual-Path Integrated Model Driven by Perceived Overqualification Chuanhao Fan * and Bingbing Shang School of Business, Hohai University, Nanjing 211100, China; shangbingbing@hhu.edu.cn * Correspondence: fch@hhu.edu.cn; Tel.: +86-13770967",TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,64.52,TRUE,,,,,,TRUE,anonymity; temporal separation,FALSE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,,,TRUE,,,,,,,,TRUE,,,FALSE,556,,,,,TRUE,no improvement in model fit with ULMC,,FALSE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0220,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0222,"Olson, Kristine J. (2025) - Men’s experiences of family supportive supervisor behavior through the lens of g...","Olson, Kristine J. ; Leiva, Pedro ; Huffman, Ann ; Wolburg Martinez, Fernanda",2025,"Community, Work & Family",10.1080/13668803.2025.2486127,Taylor & Francis,"Community, Work & Family",FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,,TRUE,anonymity,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,,,,,,TRUE,,,,,,TRUE,FALSE,366,,28,,,FALSE,,,FALSE,,,CB-SEM,LISREL,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0222,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
