article_id,title,authors,year,journal,volume,issue,doi,publisher_outlet,ebsco_an,ebsco_search_position,abstract,ebsco_db,ebsco_plink,cover_date,sources,source_import_file,ebsco_batch,legacy_refid,legacy_final_include,legacy_text_snippet,legacy_mv_pct,legacy_match_method,legacy_match_confidence,screening_status,screening_level1_include,screening_notes,extraction_status,study_order,extraction_file,zotero_key,pdf_path,has_pdf,examination_status,pdf_status,corpus_tier,examination_source,examination_updated_at,notes,created_at,updated_at
M0011,Legacy Refid 39 - ULMC Study,Legacy Study,,Journal of Business & Psychology,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,39,True,"Although we collected data at different time points, all variables were employee reported (except for demographic information). Thus, we applied the unmeasured latent method construct (ULMC) technique to detect whether common method variance (CMV) contaminated our findings (Melamed, Benavi, Luz, & Green, 1995). The results showed that the method factor accounted for 7.90% of the total vari- ance, which was considerably lower than the median amount of method variance (25%) reported in studies of ",7.9,refid_L_prefix,exact,included,True,,complete,L39,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0012,,,,Journal of Business & Psychology,,,,,,,,,,,legacy_182;zotero_inventory,legacy_extracted_data.csv;legacy_182_zotero_inventory.csv,,41,True,"Political skill and IM were reported using a cross-sectional research design, and as such common method variance (CMV) needed to be statistically examined. We utilized the unmeasured latent method construct (ULMC) technique (Podsakoff et al. 2003; Richardson et al. 2009), which allows for partitioning of variance into three components: trait, method, and random error. According to Richardson et al. (2009), the ULMC procedure necessitates estimating four models. The first model, trait-only, tests",NA,refid_direct,exact,included,True,,legacy_only,,,,,False,read_snippet_only,missing,legacy_gold,legacy_182;snippet;pdf_missing,2026-06-30,,2026-06-26,2026-06-26
M0013,Legacy Refid 42 - ULMC Study,Legacy Study,,Sustainability,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,42,True,"Podsakoff recommends using William’s Unmeasured Latent Method Construct (ULMC) method to verify CMV [37], which is more rigorous than the Hamman test and the single factor Confirmatory Factor Analysis (CFA) test. This paper used ULMC to for testing. Firstly, we assumed that H0 = CMV has no influence on the parameters estimated in the model. The result was χ2 = 105.219, CMIN = 3.859, p = 0.156, p > 0.05. The Hypothesis is supportive, indicating that the model constructed in this paper is not unde",NA,refid_L_prefix,exact,included,True,,complete,L42,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0014,Legacy Refid 44 - ULMC Study,Legacy Study,,Human Resource Management,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,44,True,"Having verified the measurement model, another CFA was evalu- ated to assess the extent to which common method variance was per- vasive among the predictors and mediators, employing the unmeasured latent method construct approach described by Williams and McGonagle (2016). All items were loaded onto their respective six fac- tors and a single method factor. The fit indices for the common method factor model were similar to the preceding six-factor model and exceeded the desired thresholds [CFI =",NA,refid_L_prefix,exact,included,True,,complete,L44,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0015,Legacy Refid 45 - ULMC Study,Legacy Study,,Public Administration Review,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,45,True,"Several limitations of our studies should be mentioned. In study 2, EI and PSE were measured using self-report questionnaires. As with all self-report measures, common method variance and social desirability biases are a concern. We addressed these concerns in a number of ways. First, we used Harman’s one-factor test to deal with the potential threat of common method bias. The one-factor model accounted for only 27 percent of the variance, which is much lower than the acceptable cutoff of 50 per",NA,refid_L_prefix,exact,included,True,,complete,L45,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0016,Legacy Refid 46 - ULMC Study,Legacy Study,,Human Resource Management Journal,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,46,True,"The unmeasured latent method construct test (Podsakoff, MacKenzie, Lee, & Podsakoff, 2003) was further exam- ined to minimise concerns of common method variance. This test includes a measurement model in which (a) latent variables for all constructs were specified on a second‐order common latent factor, (b) all regression paths from mea- surement items to this common latent factor were constrained to be equal, and (c) the variance of the common latent factor was fixed at one. The difference in m",29,refid_L_prefix,exact,included,True,,complete,L46,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0017,,,,Sustainability,,,,,,,,,,,legacy_182;zotero_inventory,legacy_extracted_data.csv;legacy_182_zotero_inventory.csv,,48,True,"For the variables in the hypothesized relationships, the common method bias (CMB) on their responses was assessed to rule out overwhelming spurious covariation from the survey methodology. First, the Harman’s one-factor test based on exploratory factor analysis (EFA) showed that the first unrotated factor of all measures explained less than half of total variance, whereas all the factors with eigenvalues over one accounted for over three-fourths, and therefore construct-specific variance exceede",NA,refid_direct,exact,included,True,,legacy_only,,,,,False,read_snippet_only,missing,legacy_gold,legacy_182;snippet;pdf_missing,2026-06-30,,2026-06-26,2026-06-26
M0018,Legacy Refid 49 - ULMC Study,Legacy Study,,Total Quality Management,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,49,True,"As self-reported scales are employed to collect survey data, common method variance (CMV) has been discussed as a potential problem. To detect the impact of CMV, this study employs Harman’s single-factor test to identify the presence of CMV. If one single factor accounts for over half of the variance in the sample, then we can conclude the presence of CMV in the study (Chang, Van Witteloostuijn, & Eden, 2010). For this study, the first emerging factor accounted for 34.67% and eight rotated facto",NA,refid_L_prefix,exact,included,True,,complete,L49,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0019,Legacy Refid 51 - ULMC Study,Legacy Study,,Journal of Work and Organizational Psychology,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,51,True,"In order to assess the extent to which inter-correlations among the variables might be an artifact of ""common method variance"" (CMV), we employed three tests (as suggested by Podsakoff et al., 2003. See also Lindell & Whitney, 2001): (a) the Harman’s single-factor method (a con- firmatory factor analysis, CFA, in which all items are simultaneously loaded on one single factor), (b) a common-latent factor (CLF), also known as Unmeasured Latent Method Construct (ULMC; Richardson et al., 2009), meth",26.23,refid_L_prefix,exact,included,True,,complete,L51,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0020,Legacy Refid 54 - ULMC Study,Legacy Study,,Journal of Business Ethics,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,54,True,"We also assessed the presence of common method bia- ses, as though the experimental component of our study included conditions and manipulations, the non-experi- mental component included data (i.e., cultural orientation, perceived positive consequences of relational favoritism) collected from the same source (Chang et al. 2010). Our analyses reflect the two dominant approaches to assessing common method biases: (1) the unmeasured latent method construct approach and (2) the correlational marker",NA,refid_L_prefix,exact,included,True,,complete,L54,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0021,Legacy Refid 57 - ULMC Study,Legacy Study,,Journal of Business Ethics,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,57,True,"Although we collected data at two different times, all the variables were self-reported, and thus could be influenced by CMV (Podsakoff et al. 2003). Therefore, we tested whether CMV was present in our data using two techniques: the CFA marker technique and the unmeasured latent method construct technique. For the CFA marker technique, we employed prevention focus as a marker variable because it is theoretically unrelated to at least one of the focal variables (i.e., Mach)—furthermore, we found ",5.75,refid_L_prefix,exact,included,True,,complete,L57,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0022,Legacy Refid 58 - ULMC Study,Legacy Study,,European Management Review,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,58,True,"The existence of bias due to common method variance (CMV) can be a fatal flaw for mediation in mono- method/source studies because they are causal in nature. In this study, managers self-reported ethical leadership, employees self-reported their own alienation, and the measure of firm performance stemmed from managers’ subjective measurements of financial performance. The design of this study includes different sources and, in particular, the work alienation indicators, which have different sour",9,refid_L_prefix,exact,included,True,,complete,L58,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0023,Legacy Refid 59 - ULMC Study,Legacy Study,,Journal of Business Ethics,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,59,True,"Because measurement errors can have a serious con- founding influence on empirical results, yielding mislead- ing conclusions, we then ran some additional models to assess the potential effect of common method bias. In doing so, we employed unmeasured latent method con- struct (ULMC) technique (William et al. 1989; Podsakoff et al. 2003). Following the procedure described by Richardson et al. (2009), we first estimated the trait-only model, a model identical to the basic model presented in Fig. ",NA,refid_L_prefix,exact,included,True,,complete,L59,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0024,"Chen et al. (2021) - Moral disengagement and moral judgment: the roles of moral endorsement, shareholder-value orientation, and intensity of moral issues","Chen, Li, Feng, Zhang",2021,Ethics & Behavior,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,60,True,"Common method biases are considered as one of the main sources of measurement error that threats the validity of the conclusions about the relationships between measures (Bagozzi & Yi, 1991; Nunnally, 1978; Podsakoff et al., 2003; Spector, 1987). To rule out possible common method biases, we examined common method variance at the measurement level using the unmeasured latent method construct technique (Williams et al., 1989). Specifically, following Podsakoff et al.’s (2003) suggestion and Richa",NA,refid_L_prefix,exact,included,True,,complete,L60,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0025,Legacy Refid 63 - ULMC Study,Legacy Study,,Human Resource Management Journal,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,63,True,"Given that our study used self‐report measures, which may lead to common method bias, we assessed the signif- icance of the common method variable in two different ways. First, we ran Harman's one‐factor statistical test (Podsakoff & Organ, 1986) and found that a single factor accounted for only 19.09% of the total variance. Then we used a single unmeasured latent method construct approach as our second post hoc statistical detection technique for common method bias. All items were loaded onto b",19.49,refid_L_prefix,exact,included,True,,complete,L63,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0026,Legacy Refid 64 - ULMC Study,Legacy Study,,International Journal of Selection and Assessment,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,64,True,"All constructs examined in our study were measured through self- reported assessment tools. Therefore, the estimates obtained in the subsequent models could be biased because of the common method used. In order to test whether or not common method variance is a relevant issue in our study, we followed the confirmatory factor analysis approach suggested by Williams and McGonagle (2016). In particular, we first estimated a Baseline Model, in which all latent vari- ables were composed by their resp",NA,refid_L_prefix,exact,included,True,,complete,L64,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0027,Legacy Refid 65 - ULMC Study,Legacy Study,,Public Management Review,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,65,True,"On top of it, in order to increase the robustness of our data, we conducted also the CFA (confirmatory factor analysis)-based approach with a single method factor (unmeasured latent method construct (ULMC) technique, Podsakoff et al. 2003). Results confirmed that CMB did not pose a serious threat to the study and we decided not include the method latent factor in our analysis. More specifically, we estimated and compared four nested model (the null model, the traits-only model, the method-only m",28,refid_L_prefix,exact,included,True,,complete,L65,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0028,Legacy Refid 66 - ULMC Study,Legacy Study,,Applied Psychology: An International Review,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,66,True,"To control for a possible common method bias, we used the unmeasured latent method construct (ULMC) technique, which means adding a common latent factor to capture the common variance among all observed variables in the model (Podsakoff et al., 2003). We added to the measurement model the uncorrelated latent construct with four configurations, in which factor load- ings were fixed to 1. Next, by comparing the fit statistics of three models: (1) the basic theoretical model, (2) the model with rev",NA,refid_L_prefix,exact,included,True,,complete,L66,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0029,Legacy Refid 70 - ULMC Study,Legacy Study,,Management Decision,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,70,True,"Finally, we are not concerned about common method bias (CMB), as we did not separate the predictor variables from the dependent construct in our study (Chang and van Witteloostuijn, 2010; Podsakoff et al., 2012). To avoid CMB, we applied techniques discussed by Podsakoff et al. (2003): (I) the interviewers advised the respondents in detail that there were no right or wrong answers, they also asked them to answer the questions as honestly as possible to avoid social desirability. (II) We conducte",NA,refid_L_prefix,exact,included,True,,complete,L70,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0030,Legacy Refid 71 - ULMC Study,Legacy Study,,Public Performance & Management Review,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,71,True,"We also conducted Harman’s one-factor test (Podsakoff et al., 2003), Lindell and Whitney’s (2001) marker variable test, the CFA marker technique (Richardson et al., 2009), and the unmeasured latent method construct approach (Williams et al., 1989; Chin et al., 2012) to test for common method variance. The results of these tests indicated that common method variance is not an issue.",NA,refid_L_prefix,exact,included,True,,complete,L71,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0031,Legacy Refid 72 - ULMC Study,Legacy Study,,Human Resource Management,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,72,True,"To investigate the presence of common method variance (CMV) in our model we used the six-factor measurement model and the unmeasured latent method construct (ULMC) approach (Podsakoff, MacKenzie, Lee, & Podsakoff, 2003). Because of identification prob- lems, we restricted all item loadings on the ULMC to be equal, the cor- relations between the ULMC and the other latent factors to be zero, and the variance of the ULMC to be 1. The significance of the factor loadings was examined both with and wi",NA,refid_L_prefix,exact,included,True,,complete,L72,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0032,Legacy Refid 74 - ULMC Study,Legacy Study,,Current Psychology,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,74,True,"Since this study collected data using a self-report research design, it is necessary to test common method bias (CMB). We adopted the “controlling for the effects of a single unmea- sured latent method factor” method (Podsakoff et al. 2003) to examine CMB. Consistent with prior studies (e.g., Xu and Lv 2018), we established a new measurement model which in- cludes a common method factor, and all items of the focus variables were loaded on the common factor. The results in- dicated that new measu",10.76,refid_L_prefix,exact,included,True,,complete,L74,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0033,Legacy Refid 75 - ULMC Study,Legacy Study,,Sustainability,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,75,True,"he threat of CMV was checked via two statistical techniques. First, concordant with the work of Kim et al. [60], the place of birth was used as the marker variable, which is theoretically unrelated to the study constructs. The findings in Table 4 indicated the place of birth was not significantly associated with any of the study constructs. In addition, the significance of the correlations did not change with or without the marker variable. Second, the unmeasured latent method factor (ULMF) tech",NA,refid_L_prefix,exact,included,True,,complete,L75,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0034,Legacy Refid 77 - ULMC Study,Legacy Study,,Work & Stress,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,77,True,"The potential effect of common method bias was examined via two post hoc ana- lyses: Harman’s one-factor test (Harman, 1976), and unmeasured latent method factor (Williams & McGonagle, 2016). One-factor explanatory factor analyses explained 20.98% and 19.39% variance in the U.S. and Turkish samples, respectively. In addition, one-factor CFA model showed bad fit in both U.S. [χ2(209) = 1910.15, p < .001; CFI = .69; TLI = .65; RMSEA = .21; SRMR = .17.] and Turkish [χ2(209) = 1903.457, p<.001; CFI=",NA,refid_L_prefix,exact,included,True,,complete,L77,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0035,Legacy Refid 81 - ULMC Study,Legacy Study,,Journal of Work and Organizational Psychology,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,81,True,"Since the present study adopted a cross-sectional research design and self-report questionnaire survey, there might be concern about the common method variance in the present study. In order to test the degree of common method variance, “controlling for the effects of a single unmeasured latent method factor” method was deployed (Podsakoff et al., 2003). In line with prior studies (e.g., Ng et al., 2014; Xu & Lv, 2018), we created a new measurement model including a common method factor and four",19.98,refid_L_prefix,exact,included,True,,complete,L81,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
