Refid,level1_user,Q1.1,Q1.2,Q1.3,management_domain,empirical_ulmc,not_pls,level1_include,text_extraction,author_fit_claims,ulmc_improves_fit,method_variance_pct,author_conclusion,ulmc_in_final,final_include,source,extraction_date
19,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"We need to address common method bias (CMB) as our study was based on self- reported data obtained from the same source (Podsakoff et al. 2003). In this study we focus on perceived performance and not on objective performance, which is common in the field of third sector organizations and in the general literature on network performance (e.g. Klijn, Edelenbos, and Steijn 2010; Liu, Takeda, and Ko 2014), making self-reports a relevant measurement method (cf. Conway and Lance 2010). Moreover, assessing objective performance in large N research is difficult or even impossible to achieve. In addition, other data sources that measure performance of CBIs (such as archival data) are unavailable, which makes the use of the survey as single method plausible (cf. George and Pandey 2017). Next, for most variables (including performance) we used multiple items in our measurement, and the scale reliability of all relevant constructs are well above general thresholds. Both reduce the likelihood of CMB (cf. George and Pandey 2017). We used ex-ante procedural remedies for reducing the likelihood of CMB in the survey design and ex-post statistical controls for testing CMB. Procedurally, we reduced the risk of CMB by allowing the respondents’ answers to be anonymous (Podsakoff et al. 2003, 888) and we separated between measures in the survey. In addition, we carefully constructed the items, by pretesting the survey among researchers and practitioners. This helps in reducing item ambiguity (Podsakoff et al. 2003). Statistically, we conducted the Harman one-factor test in SPSS and the unmea- sured latent method construct in AMOS to assess whether the majority of the variance could be explained by a single factor (Podsakoff et al. 2003). Results confirmed that CMB is not a major concern in this study.",The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,No,NA,Common method bias does not pose a significant threat to the study conclusions,NA,TRUE,legacy_distillersr,2022-2023
20,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"To test for common method variance (CMV), we used a CFA-based version of Harman’s single-factor test (see, e.g., Malhotra et al., 2006). In AMOS, we specified a single method factor, such that it might cause all 14 indicators. The items loaded significantly on the single factor, suggesting that CMV might be source of variance in the observed items. That is, all 14 variables loaded on their theoretical constructs but also on the single latent common method factor (Podsakoff et al., 2003). Therefore, we added a separate marker variable, determined ex post to have no signi- fication correlation with the other items, to the measurement model (Lindell and Whitney, 2001). Next, we per- formed an unmeasured latent method construct analysis (Richardson et al., 2009; Williams et al., 1989) to check for the presence of trait and method factors. We observed both trait and method variance; however, a chi-square dif- ference test conducted on the trait-only and trait/methods (with methods held equal) models was invariant (Δχ2 = 0.00, p = 1.00). The equal loadings model also indicated that the common method bias would be equivalent to about 0.004, which is acceptable. Common method effects (and effects of missing variables) also may be mani- fest in the correlation of the error terms of the dependent variables in the structural model, but our analysis suggests minimal such bias.",The inclusion of a ULMC did not improve the fit of the model (no change in model fit),No,NA,Common method bias does not pose a significant threat to the study conclusions,NA,TRUE,legacy_distillersr,2022-2023
21,chriscastille6,Yes,Yes,Yes,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
22,chriscastille6,No,Yes,NA,FALSE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
23,chriscastille6,Yes,Yes,Yes,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
24,chriscastille6,No,Yes,NA,FALSE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
25,chriscastille6,Yes,Yes,Yes,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
26,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"Our study has theoretical and empirical limitations that offer several meaningful opportunities for future research. First, as with all self-reported data, our research is exposed to a possible common method bias, as in our Study 2, which uses data sharing intentions as a dependent variable. We sought to reduce this threat ex ante by implementing procedural remedies recommended by Podsakoff et al. (2003), including guaranteeing the anonymity of survey participants, providing contextual information and definitions to reduce ambiguity, and informing participants that there were no right or wrong answers. Moreover, results from Harman’s single-factor test, the unmeasured latent method construct approach (Liang et al. 2007), and the specific bias test (Serrano Archimi et al. 2018) jointly suggested that common method bias was unlikely to affect the results of Study 2. Future research could go a step further and measure data sharing intentions at a later point in time using a different instrument.",The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,No,NA,Common method bias does not pose a significant threat to the study conclusions,NA,TRUE,legacy_distillersr,2022-2023
27,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
28,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
29,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"The existence of bias due to common method variance (CMV) in mediation study designs can be a fatal flaw, as they are causal in nature. This study has a cross-sectional design, and the data were collected through self-report question- naires, thus increasing the risk that common method variance (CMV) may be present. To prevent these biases, we origi- nally used proactive measures and then ex-post statistical techniques (Podsakoff et al. 2003) to gauge the extent to which our results would be affected by CMV (see also, Conway and Lance 2010). In the proactive case, our sur- veyors guaranteed respondents’ confidentiality and anon- ymity in order to reduce social desirability bias. In addition, the researchers separated the items on perceived ethical leadership from those on employees’ self-reported peer-fo- cused OCBs, and these two scales’ items appeared on dif- ferent pages of the questionnaire. This yielded an effect of psychological separation in the respondents (Podsakoff et al. 2003). In the ex-post statistical technique, the possibility of common method bias due to CMV was tested using Har- man’s one-factor test (Podsakoff and Organ 1986). As such, we used exploratory factor analysis (EFA) for item reduc- tion, but fixing only one factor to extract and with no rotation. The principal component factor analysis conducted on the items of ethical leadership and peer-focused OCBs, and the factors of compassionate feeling, yielded one unique factor that explains 27.928% of the variance (rule of thumb estab- lishes that only a factor explaining more than 50% suggests significant CMV). In addition, we tested Harman’s one- factor test (Podsakoff and Organ 1986) by using SEM. By conducting unmeasured latent method construct, we con- trolled for the effects of a specified unmeasured latent CMV factor where all the manifest indicators loaded. All the regression weights were constrained to be equal. A com- parison of this restricted CFA factor model (v2 = 1304.937, df = 339, p\.001; GFI = .834, CFI = .834; IFI = .836; TLI = .815; NFI = .790; RMSEA = .067) with the unre- stricted CFA model calculated earlier (v2 = 1307.366, p\.001, df = 340, GFI = .769, CFI = .834, IFI = .835, TLI = .816, NFI = .790, RMSEA = .098) indicates that the change in fit statistics (Dv2d ð1Þ = 2.429, p [ .1) was nonsignificant. As the two models did not differ significantly, there is no evidence that CMV causes significant bias. However, each of the regression weights was .23, which squared is .529, that is, a tolerable 5% of common variance as an approximate estimate. All of these patterns suggest that common variance due to CMV undoubtedly exists, but it was not a major problem for the data (Podsakoff et al. 2003).",The inclusion of a ULMC did not improve the fit of the model (no change in model fit),Yes,5,Common method bias does not pose a significant threat to the study conclusions,NA,TRUE,legacy_distillersr,2022-2023
30,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
31,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
32,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
33,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
34,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
35,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
36,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
37,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"Finally, using the unmeasured latent method construct (ULMC) approach (Chin, Thatcher, & Wright, 2012; Richardson et al., 2009; L. J. Williams, Cote, & Buckley, 1989), we added a latent construct with no unique observed indicators, but with paths to all the measurement items for the research constructs.5 The ULMC construct, which only captures the method variance, explained only 2% of the variance in the measurement items. Thus, the tests consistently do not find com- mon method bias to be a significant issue in the data used for the study.",The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,Yes,2,Common method bias does not pose a significant threat to the study conclusions,NA,TRUE,legacy_distillersr,2022-2023
38,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
39,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"Although we collected data at different time points, all variables were employee reported (except for demographic information). Thus, we applied the unmeasured latent method construct (ULMC) technique to detect whether common method variance (CMV) contaminated our findings (Melamed, Benavi, Luz, & Green, 1995). The results showed that the method factor accounted for 7.90% of the total vari- ance, which was considerably lower than the median amount of method variance (25%) reported in studies of self-reported perceptions at work (Richardson, Simmering, & Sturman, 2009). Therefore, we believe that CMV is not a serious issue in our research.",The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,Yes,7.9,Common method bias does not pose a significant threat to the study conclusions,NA,TRUE,legacy_distillersr,2022-2023
40,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
41,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"Political skill and IM were reported using a cross-sectional research design, and as such common method variance (CMV) needed to be statistically examined. We utilized the unmeasured latent method construct (ULMC) technique (Podsakoff et al. 2003; Richardson et al. 2009), which allows for partitioning of variance into three components: trait, method, and random error. According to Richardson et al. (2009), the ULMC procedure necessitates estimating four models. The first model, trait-only, tests the study’s measurement model consisting of 16 indicators pointing to positive IM latent variable (i.e., representing self-promo- tion, ingratiation, and exemplification factors), 18 indica- tors pointing to a political skill latent variable (i.e., representing social astuteness, apparent sincerity, net- working ability, and interpersonal influence factors), and a null method factor. The second model, method-only model, allowed estimation of the paths from the method construct to all the manifest indicators in the model while trait constructs were null. The third model, trait/method, involved estimation of paths from both trait and method constructs (i.e., method latent variable) to the manifest indicators and correlation among the trait constructs (i.e., IM latent variable was correlated with political skill latent variable). The fourth model, trait/method-R, was identical to the trait/method model, but covariances among the trait factors were constrained to the unstandardized values obtained from the trait-only mode. By constraining the covariance between trait factors, we are able to identify the level of variance explained solely from CMV when we compare the trait/method-R model to the trait/method model. Non-significantly different models suggest that CMV does not contribute to a significant portion of the variance in the latent variables. The trait-only (two-factor) model fitted the data signif- icantly better than did the method-only (single factor) model [v2 (404,405) = 929.4, p \ 0.01]. Further- difference more, there was no statistical difference between the fit of trait/method model and the trait/method-R model [vdiffer- ence2(374 375) = 0.06, ns]. Richardson et al. (2009) have asserted that bias due to CMV is present when the trait/ method-R model fits the data significantly worse than the trait/method model, whereas our results indicate no bias. Taken together, results from this analysis provide evidence that CMV is unlikely to confound the interpretations of our findings.",The inclusion of a ULMC did not improve the fit of the model (no change in model fit),No,NA,Common method bias does not pose a significant threat to the study conclusions,NA,TRUE,legacy_distillersr,2022-2023
42,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"Podsakoff recommends using William’s Unmeasured Latent Method Construct (ULMC) method to verify CMV [37], which is more rigorous than the Hamman test and the single factor Confirmatory Factor Analysis (CFA) test. This paper used ULMC to for testing. Firstly, we assumed that H0 = CMV has no influence on the parameters estimated in the model. The result was χ2 = 105.219, CMIN = 3.859, p = 0.156, p > 0.05. The Hypothesis is supportive, indicating that the model constructed in this paper is not under the influence of CMV. The collected data did not have measurement errors; thus, there is no need to consider the impact of CMV.",The inclusion of a ULMC did not improve the fit of the model (no change in model fit),No,NA,Common method bias does not pose a significant threat to the study conclusions,It is not clear that the ULMC was correctly used in this paper.,TRUE,legacy_distillersr,2022-2023
43,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
44,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"Having verified the measurement model, another CFA was evalu- ated to assess the extent to which common method variance was per- vasive among the predictors and mediators, employing the unmeasured latent method construct approach described by Williams and McGonagle (2016). All items were loaded onto their respective six fac- tors and a single method factor. The fit indices for the common method factor model were similar to the preceding six-factor model and exceeded the desired thresholds [CFI = .94; TLI = .93; RMSEA = .06; and SRMR = .05]. However, the chi-square test for the difference between the two models indicated that the six-factor model fit the data better [χ2 (df = 29) = 261.12, p < .01]. Moreover, the individual items loaded much more strongly onto their respective factors than onto the common method factor (see Table 2). The item loadings differed by at least .30. Two items had factor loadings above .40 on the common method factor, yet the loadings of these items on their respective fac- tors were much higher. Given these results, the extent to which com- mon method variance exists is likely insufficient to bias the results.",The inclusion of a ULMC harmed the fit of the model (the fit of the proposed model was superior),No,NA,Common method bias does not pose a significant threat to the study conclusions,The authors implied that the fit of the model containing the ULMC was worse than the proposed model.,TRUE,legacy_distillersr,2022-2023
45,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"Several limitations of our studies should be mentioned. In study 2, EI and PSE were measured using self-report questionnaires. As with all self-report measures, common method variance and social desirability biases are a concern. We addressed these concerns in a number of ways. First, we used Harman’s one-factor test to deal with the potential threat of common method bias. The one-factor model accounted for only 27 percent of the variance, which is much lower than the acceptable cutoff of 50 percent. Second, we used the stricter unmeasured latent method construct (Williams, Cote, and Buckley 1989), whereby a CFA is conducted in which each item is loaded on its theoretical construct as well as on a latent common method factor (Podsakoff et al. 2003). As suggested by Richardson, Simmering, and Sturman (2009), as the model with both method and substantive components did not produce better fit indices than an identical model except with construct correlations constrained to the values obtained in the substantive-only model, common method bias is unlikely to be a problem in this study. Finally, we used an EI measurement that has previously demonstrated convergent and discriminant validity in research using multiple raters to assess EI (Law, Wong, and Song 2004).",The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,No,NA,Common method bias does not pose a significant threat to the study conclusions,The authors work implies that CMV was present but not sufficient to bias estimates.,TRUE,legacy_distillersr,2022-2023
46,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"The unmeasured latent method construct test (Podsakoff, MacKenzie, Lee, & Podsakoff, 2003) was further exam- ined to minimise concerns of common method variance. This test includes a measurement model in which (a) latent variables for all constructs were specified on a second‐order common latent factor, (b) all regression paths from mea- surement items to this common latent factor were constrained to be equal, and (c) the variance of the common latent factor was fixed at one. The difference in model fit indices between this model and a measurement model without the common latent factor was assessed and determined to be considerably above the recommended cut‐off value of 0.001 (ΔRMSEA = 0.02; ΔCFI = 0.01; ΔTLI = 0.01; SRMR = 0.01). The total amount of variance extracted by the common latent factor is 0.29, below the recommended threshold.",The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,Yes,29,The authors do not provide a conclusion regarding the role of common method bias,The authors writing implies that the ULMC did improve the fit of the model to the data.,TRUE,legacy_distillersr,2022-2023
47,chriscastille6,Yes,Yes,Yes,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
48,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"For the variables in the hypothesized relationships, the common method bias (CMB) on their responses was assessed to rule out overwhelming spurious covariation from the survey methodology. First, the Harman’s one-factor test based on exploratory factor analysis (EFA) showed that the first unrotated factor of all measures explained less than half of total variance, whereas all the factors with eigenvalues over one accounted for over three-fourths, and therefore construct-specific variance exceeded common method variance [85]. Based on confirmatory factor analysis, the unmeasured latent method construct (ULMC) technique further compared the method-only, trait-only, and trait-and-method models [86,87]. When all the measurement items were loaded onto a single factor (i.e., method-only model) rather than their own constructs (i.e., trait-only model), model fit deteriorated noticeably (χ2 from 321.016 to 2615.755, and χ2/df from 1.354 to 10.38). The inclusion of both trait and method influences (i.e., trait-and-method model) did not improve but weakened model fit (χ2 from 321.016 to 391.064, and χ2/df from 1.354 to 1.664), further dismissing the CMB concern.",The inclusion of a ULMC harmed the fit of the model (the fit of the proposed model was superior),No,NA,Common method bias does not pose a significant threat to the study conclusions,The authors description of separate models clearly implied that the trait and method model was a poorer fit relative to a trait-only model.-,TRUE,legacy_distillersr,2022-2023
49,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"As self-reported scales are employed to collect survey data, common method variance (CMV) has been discussed as a potential problem. To detect the impact of CMV, this study employs Harman’s single-factor test to identify the presence of CMV. If one single factor accounts for over half of the variance in the sample, then we can conclude the presence of CMV in the study (Chang, Van Witteloostuijn, & Eden, 2010). For this study, the first emerging factor accounted for 34.67% and eight rotated factors for 65.62% variance, indi- cating that CMV is not a serious issue. Moreover, this study also adopts the Unmeasured Latent Method Construct (ULMC) technique to examine the CMV problem by comparing the model difference between the CFA measurement model and the model with the ULMC (Williams, Cote, & Buckley, 1989; Williams, Hartman, & Cavazotte, 2010). The x2 differ- ence of model comparison is 0.501(p 1⁄4 .919) and is insignificant at the 0.01 level. There- fore, according the results of Harman’s single-factor test and the ULMC technique, we can conclude that the common method bias is not an issue in this study.",The inclusion of a ULMC did not improve the fit of the model (no change in model fit),No,NA,Common method bias does not pose a significant threat to the study conclusions,NA,TRUE,legacy_distillersr,2022-2023
50,chriscastille6,Yes,Yes,Yes,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
51,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"In order to assess the extent to which inter-correlations among the variables might be an artifact of ""common method variance"" (CMV), we employed three tests (as suggested by Podsakoff et al., 2003. See also Lindell & Whitney, 2001): (a) the Harman’s single-factor method (a con- firmatory factor analysis, CFA, in which all items are simultaneously loaded on one single factor), (b) a common-latent factor (CLF), also known as Unmeasured Latent Method Construct (ULMC; Richardson et al., 2009), method (a CFA in which all items loaded on both – their expected factors and one common-latent factor are loaded on each of the items respectively, but are uncorrelated to their respective latent factors), and (c) a standard CFA to test the original construct. In addition, we examine the model fit and extracted explained variance (R2). The analyses were done by utilizing AMOS (v. 23) software with the function of Multiple-Group Analyses (as there are 12 different samples/groups). The results are presented in Table C1. The methods explained before produced explained variance (R2) as follows (Harman’s single-factor ""outside"" the parenthesis, and CLF method inside the parenthesis): Israel1 = 25.44% (23.15%); Israel2 = 28.01% (25.49%); Romania1 = 35.94% (32.71%); Romania2 = 29.88% (27.19%); Japan = 22.78% (20.73%); USA = 27.35% (24.89%); Pakistan = 30.07% (27.36%); Italy = 24.81% (22.58%); Turkey = 28.45% (25.89%); Brazil = 29.77% (27.05%); Germany = 34.64% (31.51%). This indicated that the CLF method produced less CMV. As can be seen in Table B1, the fits of the models vary. The worse fit, as expected, is derived by using Harman’s Single-Factor test. Then the standard CFA when the total construct (a unified one-factor) of HWI is tested instead of its dimensions. Next, the CLF method produced adequate fit indices, which highlight its importance over Harman’s Single-Factor test. While these results (in conjunction with the R2 extracted) do not rule out completely the possibility of same-source bias (i.e., CMV), following Podsakoff et al. (2003), the extracted explained variances are less than 50% (R2 < .50) indicating that CMV is an unlikely explanation of our investigation’s findings. Finally, the standard CFA with the two HWI dimen- sions (HWI-TC and HWI-WI) produced the best model fit (close to the ""absolute"" sense, apart from the c2-test; see, Byrne, 2010; Tabachnick & Fidell, 2013; Vehkalahti & Everitt, 2019). These results have led us to: (1) use the dimensions of HWI in further analyses, as they fit the data more than the total construct does and are more statistically (and theoretically) sane to use separately from one another, (2) create CMV-corrected/ adjusted dimensions of HWI (see, Lindell & Whitney, 2001; Podsakoff et al., 2003; Richardson et al., 2009) to account for any CMV that might confound the data.",The inclusion of a ULMC harmed the fit of the model (the fit of the proposed model was superior),Yes,26.23,The authors do not provide a conclusion regarding the role of common method bias,The method variance proportion is approximated by averaging method variance levels from surveys from different countries.,TRUE,legacy_distillersr,2022-2023
52,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
53,chriscastille6,No,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
